MODE=set
REGISTRY_PATH=HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender
VALUE_NAME=ThreatFileHashLogging
STATE=1
PML_EXISTS=True
CSV_EXISTS=True
MATCH_COUNT=80
1:20:23.2983436 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\HideExclusionsFromLocalUsers | NAME NOT FOUND | Length: 16
1:20:23.2983691 AM | MsMpEng.exe | RegOpenKey | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender | SUCCESS | Desired Access: Read
1:20:23.2984145 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\EnableRemoteManagedDefaults | NAME NOT FOUND | Length: 16
1:20:23.2984247 AM | MsMpEng.exe | RegCloseKey | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender | SUCCESS | 
1:20:23.2986589 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\InstallTime | NAME NOT FOUND | Length: 82
1:20:23.2987243 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\IsServiceRunning | NAME NOT FOUND | Length: 16
1:20:23.2988065 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\IsServiceRunning | NAME NOT FOUND | Length: 16
1:20:23.2988456 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\LastKnownGoodProxy | NAME NOT FOUND | Length: 12
1:20:23.2989232 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\LastKnownGoodProxy | NAME NOT FOUND | Length: 16
1:20:23.2989789 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\LastWdDisable | NAME NOT FOUND | Length: 16
1:20:23.2989990 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\LastWdEnable | NAME NOT FOUND | Length: 12
1:20:23.2990560 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\MaintenanceCriticalDeadline | NAME NOT FOUND | Length: 12
1:20:23.2990748 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\MaintenanceCriticalDeadline | NAME NOT FOUND | Length: 16
1:20:23.2990928 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\MaintenanceInterval | NAME NOT FOUND | Length: 16
1:20:23.2991121 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\MaintenanceNonCriticalDeadline | NAME NOT FOUND | Length: 16
1:20:23.2991952 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\MaintenanceNonCriticalDeadline | NAME NOT FOUND | Length: 16
1:20:23.2992159 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\ManagedDefenderProductType | NAME NOT FOUND | Length: 16
1:20:23.2992343 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\MdmSubscriberIds | NAME NOT FOUND | Length: 16
1:20:23.2993031 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\OOBEInstallTime | NAME NOT FOUND | Length: 12
1:20:23.2993205 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\OOBEInstallTime | NAME NOT FOUND | Length: 12
ORIGINAL={"path_exists":true,"value_exists":false,"value":null}
RESTORED={"path_exists":true,"value_exists":false,"value":null}
