"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"7:13:36.6644559 PM","Procmon64.exe","2976","QueryBasicInformationFile","C:\Windows\System32\WinTypes.dll","SUCCESS","CreationTime: 9/15/2025 10:40:09 PM, LastAccessTime: 3/21/2026 3:21:32 AM, LastWriteTime: 9/15/2025 10:40:09 PM, ChangeTime: 3/21/2026 3:19:29 AM, FileAttributes: A"
"7:13:36.6644629 PM","Procmon64.exe","2976","CloseFile","C:\Windows\System32\WinTypes.dll","SUCCESS",""
"7:13:36.6644724 PM","Procmon64.exe","2976","IRP_MJ_CLOSE","C:\Windows\System32\WinTypes.dll","SUCCESS",""
"7:13:36.6645018 PM","Procmon64.exe","2976","RegOpenKey","HKLM\Software\Microsoft\LanguageOverlay\OverlayPackages\en-US","NAME NOT FOUND","Desired Access: Read"
"7:13:36.6727396 PM","vm3dservice.exe","3524","RegOpenKey","HKLM\Hardware\DeviceMap\Video","SUCCESS","Desired Access: Read"
"7:13:36.6727621 PM","vm3dservice.exe","3524","RegQueryValue","HKLM\HARDWARE\DEVICEMAP\VIDEO\\Device\Video0","SUCCESS","Type: REG_SZ, Length: 202, Data: "
"7:13:36.6784158 PM","java.exe","7724","QueryOpen","\\vmware-host\Shared Folders\vm-tooling-staging\ui-check-bin-fresh\Docs\tweaks\_source-mirrors\decompiled-pseudocode\dxgkrnl\--1-$Set@VDMMVIDPNPRESENTPATH@@@@UEAA@XZ.c","FAST IO DISALLOWED",""
"7:13:36.6809272 PM","Procmon64.exe","2976","CreateFile","C:\Windows\System32\en-US\wintypes.dll.mui","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"7:13:36.6809582 PM","Procmon64.exe","2976","CreateFileMapping","C:\Windows\System32\en-US\wintypes.dll.mui","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE|PAGE_NOCACHE"
"7:13:36.6809671 PM","Procmon64.exe","2976","QueryStandardInformationFile","C:\Windows\System32\en-US\wintypes.dll.mui","SUCCESS","AllocationSize: 4,096, EndOfFile: 2,560, NumberOfLinks: 2, DeletePending: False, Directory: False"
"7:13:36.6809739 PM","Procmon64.exe","2976","FASTIO_RELEASE_FOR_SECTION_SYNCHRONIZATION","C:\Windows\System32\en-US\wintypes.dll.mui","SUCCESS",""
"7:13:36.6809811 PM","Procmon64.exe","2976","CreateFileMapping","C:\Windows\System32\en-US\wintypes.dll.mui","SUCCESS","SyncType: SyncTypeOther"
"7:13:36.6809865 PM","Procmon64.exe","2976","FASTIO_RELEASE_FOR_SECTION_SYNCHRONIZATION","C:\Windows\System32\en-US\wintypes.dll.mui","SUCCESS",""
"7:13:36.7051934 PM","vm3dservice.exe","3524","RegOpenKey","HKLM\System\CurrentControlSet\CONTROL\VIDEO\{E6AE59AC-24C3-11F1-BA2F-806E6F6E6963}\0000","REPARSE","Desired Access: Read"
"7:13:36.7053650 PM","Procmon64.exe","2976","QueryOpen","C:\Windows\System32\WinTypes.dll","FAST IO DISALLOWED",""
"7:13:36.7054371 PM","Procmon64.exe","2976","CreateFile","C:\Windows\System32\WinTypes.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"7:13:36.7054683 PM","Procmon64.exe","2976","QueryBasicInformationFile","C:\Windows\System32\WinTypes.dll","SUCCESS","CreationTime: 9/15/2025 10:40:09 PM, LastAccessTime: 3/21/2026 3:21:32 AM, LastWriteTime: 9/15/2025 10:40:09 PM, ChangeTime: 3/21/2026 3:19:29 AM, FileAttributes: A"
"7:13:36.7054771 PM","Procmon64.exe","2976","CloseFile","C:\Windows\System32\WinTypes.dll","SUCCESS",""
"7:13:36.7054877 PM","Procmon64.exe","2976","IRP_MJ_CLOSE","C:\Windows\System32\WinTypes.dll","SUCCESS",""
"7:13:36.7055792 PM","Procmon64.exe","2976","CreateFile","C:\Windows\System32\WinTypes.dll","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"7:13:36.7056054 PM","Procmon64.exe","2976","QueryStandardInformationFile","C:\Windows\System32\WinTypes.dll","SUCCESS","AllocationSize: 1,511,424, EndOfFile: 1,509,640, NumberOfLinks: 2, DeletePending: False, Directory: False"
"7:13:36.7056168 PM","Procmon64.exe","2976","CreateFileMapping","C:\Windows\System32\WinTypes.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE|PAGE_NOCACHE"
"7:13:36.7056239 PM","Procmon64.exe","2976","QueryStandardInformationFile","C:\Windows\System32\WinTypes.dll","SUCCESS","AllocationSize: 1,511,424, EndOfFile: 1,509,640, NumberOfLinks: 2, DeletePending: False, Directory: False"
"7:13:36.7056655 PM","Procmon64.exe","2976","FASTIO_RELEASE_FOR_SECTION_SYNCHRONIZATION","C:\Windows\System32\WinTypes.dll","SUCCESS",""
"7:13:36.7056742 PM","Procmon64.exe","2976","CreateFileMapping","C:\Windows\System32\WinTypes.dll","SUCCESS","SyncType: SyncTypeOther"
"7:13:36.7056811 PM","Procmon64.exe","2976","FASTIO_RELEASE_FOR_SECTION_SYNCHRONIZATION","C:\Windows\System32\WinTypes.dll","SUCCESS",""
"7:13:36.7181504 PM","vm3dservice.exe","3524","RegOpenKey","HKLM\System\CurrentControlSet\CONTROL\VIDEO\{E6AE59AC-24C3-11F1-BA2F-806E6F6E6963}\0000","REPARSE","Desired Access: Read"
"7:13:36.7181730 PM","vm3dservice.exe","3524","RegOpenKey","HKLM\System\CurrentControlSet\Control\Class\{4d36e968-e325-11ce-bfc1-08002be10318}\0000","SUCCESS","Desired Access: Read"
"7:13:36.7181879 PM","vm3dservice.exe","3524","RegCloseKey","HKLM\HARDWARE\DEVICEMAP\VIDEO","SUCCESS",""
"7:13:36.7181980 PM","vm3dservice.exe","3524","RegQueryValue","HKLM\System\CurrentControlSet\Control\Class\{4d36e968-e325-11ce-bfc1-08002be10318}\0000\PruningMode","NAME NOT FOUND","Length: 52"
"7:13:36.7182097 PM","vm3dservice.exe","3524","RegCloseKey","HKLM\System\CurrentControlSet\Control\Class\{4d36e968-e325-11ce-bfc1-08002be10318}\0000","SUCCESS",""
"7:13:36.7182266 PM","vm3dservice.exe","3524","RegOpenKey","HKLM\System\CurrentControlSet\Enum\PCI\VEN_15AD&DEV_0405&SUBSYS_040515AD&REV_00\3&61aaa01&0&78","SUCCESS","Desired Access: Query Value, Maximum Allowed"
"7:13:36.7182742 PM","vm3dservice.exe","3524","RegQueryValue","HKLM\System\CurrentControlSet\Enum\PCI\VEN_15AD&DEV_0405&SUBSYS_040515AD&REV_00\3&61aaa01&0&78\HardwareID","BUFFER OVERFLOW","Length: 268"
"7:13:36.7182854 PM","vm3dservice.exe","3524","RegCloseKey","HKLM\System\CurrentControlSet\Enum\PCI\VEN_15AD&DEV_0405&SUBSYS_040515AD&REV_00\3&61aaa01&0&78","SUCCESS",""
"7:13:36.7182985 PM","vm3dservice.exe","3524","RegOpenKey","HKLM\System\CurrentControlSet\Enum\PCI\VEN_15AD&DEV_0405&SUBSYS_040515AD&REV_00\3&61aaa01&0&78","SUCCESS","Desired Access: Query Value, Maximum Allowed"
"7:13:36.7183073 PM","vm3dservice.exe","3524","RegQueryValue","HKLM\System\CurrentControlSet\Enum\PCI\VEN_15AD&DEV_0405&SUBSYS_040515AD&REV_00\3&61aaa01&0&78\HardwareID","SUCCESS","Type: REG_MULTI_SZ, Length: 292, Data: PCI\VEN_15AD&DEV_0405&SUBSYS_040515AD&REV_00, PCI\VEN_15AD&DEV_0405&SUBSYS_040515AD, PCI\VEN_15AD&DEV_0405&CC_030000, PCI\VEN_15AD&DEV_0405&CC_0300"
"7:13:36.7275864 PM","Procmon64.exe","2976","CloseFile","C:\Windows\System32\WinTypes.dll","SUCCESS",""
"7:13:36.7276035 PM","Procmon64.exe","2976","IRP_MJ_CLOSE","C:\Windows\System32\WinTypes.dll","SUCCESS",""
"7:13:36.7277199 PM","Procmon64.exe","2976","QueryOpen","C:\Windows\System32\advapi32.dll","FAST IO DISALLOWED",""
"7:13:36.7277681 PM","Procmon64.exe","2976","CreateFile","C:\Windows\System32\advapi32.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"7:13:36.7278347 PM","Procmon64.exe","2976","QueryBasicInformationFile","C:\Windows\System32\advapi32.dll","SUCCESS","CreationTime: 9/15/2025 10:40:04 PM, LastAccessTime: 3/21/2026 3:24:46 AM, LastWriteTime: 9/15/2025 10:40:04 PM, ChangeTime: 3/21/2026 3:19:25 AM, FileAttributes: A"
"7:13:36.7278439 PM","Procmon64.exe","2976","CloseFile","C:\Windows\System32\advapi32.dll","SUCCESS",""
"7:13:36.7278548 PM","Procmon64.exe","2976","IRP_MJ_CLOSE","C:\Windows\System32\advapi32.dll","SUCCESS",""
"7:13:36.7278889 PM","Procmon64.exe","2976","RegOpenKey","HKLM\Software\Microsoft\LanguageOverlay\OverlayPackages\en-US","NAME NOT FOUND","Desired Access: Read"
"7:13:36.7384609 PM","vm3dservice.exe","3524","RegCloseKey","HKLM\System\CurrentControlSet\Enum\PCI\VEN_15AD&DEV_0405&SUBSYS_040515AD&REV_00\3&61aaa01&0&78","SUCCESS",""
"7:13:36.7384747 PM","vm3dservice.exe","3524","RegOpenKey","HKLM\Hardware\DeviceMap\Video","SUCCESS","Desired Access: Read"
"7:13:36.7384877 PM","vm3dservice.exe","3524","RegQueryValue","HKLM\HARDWARE\DEVICEMAP\VIDEO\\Device\Video0","SUCCESS","Type: REG_SZ, Length: 202, Data: "
"7:13:36.7385287 PM","vm3dservice.exe","3524","RegCloseKey","HKLM\HARDWARE\DEVICEMAP\VIDEO","SUCCESS",""
"7:13:36.7750259 PM","Procmon64.exe","2976","CreateFile","C:\Windows\System32\en-US\advapi32.dll.mui","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"7:13:36.7750814 PM","powershell.exe","1860","CreateFile","C:\Tools\Sysinternals\Procmon64.exe","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"7:13:36.7751016 PM","taskhostw.exe","6848","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:13:36.7751226 PM","vm3dservice.exe","3524","RegOpenKey","HKLM\Hardware\DeviceMap\Video","SUCCESS","Desired Access: Read"
"7:13:36.7751562 PM","vm3dservice.exe","3524","RegQueryValue","HKLM\HARDWARE\DEVICEMAP\VIDEO\\Device\Video0","SUCCESS","Type: REG_SZ, Length: 202, Data: "
"7:13:36.7751711 PM","Procmon64.exe","2976","CreateFileMapping","C:\Windows\System32\en-US\advapi32.dll.mui","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE|PAGE_NOCACHE"
"7:13:36.7751771 PM","taskhostw.exe","6848","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Diagnostics\DiagTrack","SUCCESS","Desired Access: Read"
"7:13:36.7751786 PM","powershell.exe","1860","QueryStandardInformationFile","C:\Tools\Sysinternals\Procmon64.exe","SUCCESS","AllocationSize: 2,146,304, EndOfFile: 2,142,648, NumberOfLinks: 1, DeletePending: False, Directory: False"
"7:13:36.7752117 PM","vm3dservice.exe","3524","RegOpenKey","HKLM\System\CurrentControlSet\CONTROL\VIDEO\{E6AE59AC-24C3-11F1-BA2F-806E6F6E6963}\0000","REPARSE","Desired Access: Read"
"7:13:36.7756579 PM","powershell.exe","1860","CreateFileMapping","C:\Tools\Sysinternals\Procmon64.exe","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE|PAGE_NOCACHE"
"7:13:36.7756613 PM","vm3dservice.exe","3524","RegOpenKey","HKLM\System\CurrentControlSet\CONTROL\VIDEO\{E6AE59AC-24C3-11F1-BA2F-806E6F6E6963}\0000","REPARSE","Desired Access: Read"
"7:13:36.7756790 PM","vm3dservice.exe","3524","RegOpenKey","HKLM\System\CurrentControlSet\Control\Class\{4d36e968-e325-11ce-bfc1-08002be10318}\0000","SUCCESS","Desired Access: Read"
